,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Sequel
6091,Harvest Moon DS Cute (US sales),DS,2005,Simulation,Marvelous Interactive,0.28,0.0,0.0,0.0,0.28,,,,,,,0
6092,Disney's Extreme Skate Adventure,GBA,2003,Sports,Activision,0.2,0.08,0.0,0.01,0.28,70.0,6.0,tbd,,Vicarious Visions,E,0
6093,Dragon Ball GT: Transformation,GBA,2005,Action,Atari,0.2,0.08,0.0,0.01,0.28,69.0,12.0,8.2,26.0,Webfoot Technologies,E10+,0
6094,Super Fire ProWrestling X,SNES,1995,Fighting,Human Entertainment,0.0,0.0,0.28,0.0,0.28,,,,,,,1
6095,Battlefield: Hardline,X360,2015,Shooter,Electronic Arts,0.17,0.09,0.0,0.03,0.28,,,4.1,65.0,Visceral Games,M,0
6096,International Superstar Soccer,SNES,1994,Sports,Konami Digital Entertainment,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6097,Tigger's Honey Hunt,PS,2000,Platform,Ubisoft,0.16,0.11,0.0,0.02,0.28,,,,,,,0
6098,FIFA 15,PC,2014,Sports,Electronic Arts,0.0,0.27,0.0,0.02,0.28,82.0,9.0,4.2,383.0,EA Sports,E,0
6099,The Warriors,XB,2005,Action,Take-Two Interactive,0.21,0.06,0.0,0.01,0.28,85.0,55.0,8.2,21.0,Rockstar Toronto,M,0
6100,Shadow Hearts,PS2,2001,Role-Playing,Midway Games,0.09,0.07,0.1,0.02,0.28,73.0,24.0,8.8,55.0,Sacnoth,M,0
6101,Dragon Ball Z: Budokai Tenkaichi 2,Wii,2006,Fighting,Atari,0.24,0.03,0.0,0.02,0.28,72.0,37.0,8.5,40.0,Spike,T,0
6102,Haven: Call of the King,PS2,,Platform,Midway Games,0.14,0.11,0.0,0.04,0.28,69.0,26.0,6.9,15.0,Traveller's Tales,T,0
6103,Street Hoops,XB,2002,Sports,Activision,0.21,0.06,0.0,0.01,0.28,58.0,22.0,8,4.0,Black Ops Entertainment,T,0
6104,Yu-Gi-Oh! Double Pack,GBA,2006,Role-Playing,Konami Digital Entertainment,0.2,0.08,0.0,0.01,0.28,,,,,,,0
6105,X-Men: Reign of Apocalypse,GBA,2001,Action,Activision,0.2,0.08,0.0,0.01,0.28,61.0,10.0,tbd,,Digital Eclipse,E,0
6106,R: Racing Evolution,PS2,2003,Racing,Namco Bandai Games,0.14,0.11,0.0,0.04,0.28,66.0,35.0,6.2,5.0,Namco,T,0
6107,Netsu Chu! Pro Yakyuu 2003,PS2,2003,Sports,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6108,Jewel Quest Mysteries: Curse of the Emerald Tear,DS,2010,Puzzle,Avanquest,0.0,0.25,0.0,0.04,0.28,,,,,,,1
6109,The Golden Compass,PS3,2007,Action,Sega,0.14,0.1,0.0,0.05,0.28,40.0,17.0,4.8,16.0,Shiny Entertainment,E10+,0
6110,ATV Quad Power Racing 2,GC,2003,Racing,Acclaim Entertainment,0.22,0.06,0.0,0.01,0.28,70.0,18.0,9,4.0,Climax Group,E,0
6111,Digimon Adventure: Anode Tamer,WS,1999,Role-Playing,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6112,Hatsune Miku: Project Diva f,PS3,2013,Misc,Sega,0.08,0.0,0.19,0.02,0.28,73.0,10.0,8.4,108.0,Sega,T,0
6113,Fantastic 4: Flame On,GBA,2005,Action,Activision,0.2,0.08,0.0,0.01,0.28,,,,,,,0
6114,Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.1,0.12,0.02,0.04,0.28,,,,,,,0
6115,Marvel Nemesis: Rise of the Imperfects,XB,2005,Fighting,Electronic Arts,0.21,0.06,0.0,0.01,0.28,58.0,34.0,7.5,20.0,"EA Canada, Nihilistic",T,0
6116,The King of Fighters '95,SAT,1995,Fighting,SNK Playmore,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6117,F/A-18F Super Hornet,GBA,2004,Simulation,Majesco Entertainment,0.2,0.08,0.0,0.01,0.28,,,,,,,0
6118,Final Fantasy VI Advance,GBA,2006,Role-Playing,Nintendo,0.0,0.0,0.28,0.01,0.28,92.0,25.0,8.4,190.0,TOSE,E10+,0
6119,LEGO The Lord of the Rings,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.09,0.13,0.0,0.06,0.28,54.0,8.0,5.6,35.0,TT Games,E10+,0
6120,Polaris,2600,1982,Action,Tigervision,0.26,0.02,0.0,0.0,0.28,,,,,,,0
6121,All Star Cheer Squad,DS,2008,Sports,THQ,0.26,0.0,0.0,0.02,0.28,,,tbd,,Gorilla Games,E,0
6122,Viewtiful Joe,PS2,2004,Action,Capcom,0.14,0.11,0.0,0.04,0.28,90.0,34.0,8.5,35.0,Clover Studio,T,0
6123,Triple Play 2000,N64,1999,Sports,Electronic Arts,0.27,0.01,0.0,0.0,0.28,,,,,,,0
6124,DeathSmiles,X360,2009,Shooter,Rising Star Games,0.15,0.06,0.05,0.02,0.28,76.0,29.0,8.4,47.0,Cave,T,0
6125,Baby Pals,DS,2007,Simulation,THQ,0.26,0.01,0.0,0.02,0.28,,,tbd,,Brain Toys,E,0
6126,Fable: The Journey,X360,2012,Role-Playing,Microsoft Game Studios,0.18,0.08,0.0,0.02,0.28,61.0,70.0,4.8,80.0,Lionhead Studios,T,0
6127,Bratz Ponyz,DS,2007,Adventure,Game Factory,0.26,0.0,0.0,0.02,0.28,,,tbd,,Neko Entertainment,E,0
6128,Arcade Hits: Frisky Tom,PS,2002,Action,Hamster Corporation,0.16,0.11,0.0,0.02,0.28,,,,,,,0
6129,Junior Brain Trainer 2,DS,2010,Misc,GSP,0.04,0.2,0.0,0.03,0.28,,,tbd,,Sanuk Games,E,1
6130,Bladestorm: The Hundred Years' War,PS3,2007,Action,Tecmo Koei,0.1,0.03,0.14,0.02,0.28,58.0,23.0,7.9,28.0,Omega Force,T,0
6131,SAW,X360,2009,Action,Konami Digital Entertainment,0.13,0.12,0.0,0.03,0.28,59.0,39.0,7.4,50.0,Zombie Studios,M,0
6132,Chromehounds,X360,2006,Simulation,Sega,0.24,0.0,0.01,0.02,0.28,71.0,60.0,7,72.0,From Software,T,0
6133,Harry Potter and the Sorcerer's Stone,PS2,2003,Action,Electronic Arts,0.14,0.11,0.0,0.04,0.28,56.0,14.0,7.6,21.0,Warthog,E,0
6134,Unreal Championship 2: The Liandri Conflict,XB,,Shooter,Midway Games,0.22,0.05,0.0,0.01,0.28,85.0,54.0,8.2,21.0,Epic Games,M,1
6135,Kung Fu Chaos,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.28,68.0,41.0,8.5,27.0,Just Add Monsters,T,0
6136,Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6137,Reel Fishing: Angler's Dream,Wii,2009,Sports,Zushi Games,0.25,0.01,0.0,0.02,0.28,,,7.5,4.0,Sims,E,0
6138,Shrek the Third,Wii,2007,Action,Activision,0.25,0.01,0.0,0.02,0.28,57.0,28.0,6.7,7.0,Amaze Entertainment,E10+,0
6139,Godzilla: Domination!,GBA,2002,Fighting,Atari,0.2,0.07,0.0,0.01,0.28,,,,,,,0
6140,Famista '92,NES,1991,Sports,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6141,Tales of the World: Radiant Mythology 3,PSP,2011,Role-Playing,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,,,,,,1
6142,Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002,Misc,Sammy Corporation,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6143,Jackass the Game,PS2,2007,Action,Empire Interactive,0.14,0.11,0.0,0.04,0.28,58.0,24.0,6.6,14.0,Sidhe Interactive,M,0
6144,Mega Man II,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6145,Pirates of the Caribbean: Dead Man's Chest,PSP,2006,Adventure,Disney Interactive Studios,0.25,0.0,0.0,0.02,0.28,52.0,34.0,8,17.0,Griptonite Games,T,0
6146,Lord of Darkness,SNES,1991,Action,Tecmo Koei,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6147,Hannah Montana: Spotlight World Tour,PS2,2008,Action,Disney Interactive Studios,0.12,0.02,0.0,0.14,0.28,,,tbd,,Avalanche Software,E,0
6148,Rocket Power: Beach Bandits,GBA,2002,Platform,THQ,0.2,0.07,0.0,0.01,0.28,,,,,,,1
6149,Carol Vorderman's Sudoku,PS2,2006,Puzzle,Xplosiv,0.0,0.23,0.0,0.05,0.28,75.0,4.0,tbd,,Atomic Planet Entertainment,E,0
6150,Operation Flashpoint: Red River,X360,2011,Shooter,Codemasters,0.1,0.14,0.01,0.03,0.28,69.0,64.0,6.1,29.0,Codemasters,M,0
6151,Transformers: Dark of the Moon,X360,2011,Action,Activision,0.13,0.12,0.0,0.03,0.28,59.0,53.0,6.7,30.0,High Moon Studios,T,0
6152,MX SuperFly featuring Ricky Carmichael,PS2,2002,Racing,THQ,0.14,0.11,0.0,0.04,0.28,,,,,,,0
6153,Surf's Up,DS,2007,Sports,Ubisoft,0.26,0.0,0.0,0.02,0.28,56.0,5.0,7,4.0,Ubisoft Quebec,E,0
6154,Assassin's Creed II: Discovery,DS,2009,Action,Ubisoft,0.15,0.11,0.0,0.03,0.28,69.0,20.0,7.3,22.0,Griptonite Games,T,0
6155,Syphon Filter: Dark Mirror,PS2,2007,Shooter,Sony Computer Entertainment,0.14,0.11,0.0,0.04,0.28,70.0,24.0,7.8,12.0,Sony Bend,T,0
6156,Conflict: Desert Storm II - Back to Bagdhad,XB,2003,Shooter,SCi,0.21,0.06,0.0,0.01,0.28,,,,,,,1
6157,Mission: Impossible - Operation Surma,PS2,2003,Platform,Atari,0.14,0.11,0.0,0.04,0.28,64.0,30.0,7.8,10.0,Paradigm Entertainment,T,0
6158,Sesame Street: Elmo's A-to-Zoo Adventure,DS,2010,Misc,Warner Bros. Interactive Entertainment,0.26,0.0,0.0,0.02,0.28,,,,,,,0
6159,MLB 07: The Show,PSP,2007,Sports,Sony Computer Entertainment,0.26,0.0,0.0,0.02,0.28,82.0,12.0,7.2,10.0,SCEA San Diego Studios,E,1
6160,Kung Zhu,DS,2010,Action,Activision,0.26,0.0,0.0,0.02,0.28,,,,,,,0
6161,Pitfall: The Mayan Adventure,GBA,2001,Platform,Interplay,0.2,0.07,0.0,0.01,0.28,58.0,10.0,tbd,,Pipe Dream Interactive,E,0
6162,Driver: Parallel Lines,PS2,2006,Racing,Atari,0.12,0.1,0.03,0.03,0.28,69.0,41.0,6.9,74.0,Reflections Interactive,M,0
6163,Monster Hunter Stories,3DS,2016,Action,Capcom,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6164,Ben 10 Ultimate Alien: Cosmic Destruction,Wii,2010,Platform,D3Publisher,0.17,0.09,0.0,0.02,0.28,,,tbd,,Papaya Studios,E10+,0
6165,The Urbz: Sims In the City (US weekly sales),DS,2004,Simulation,Electronic Arts,0.26,0.0,0.0,0.02,0.28,,,,,,,0
6166,Mega Man ZX,DS,2006,Platform,Capcom,0.16,0.0,0.1,0.02,0.28,76.0,37.0,8.3,32.0,Inti Creates,E,0
6167,Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004,Fighting,Eidos Interactive,0.14,0.11,0.0,0.04,0.28,46.0,23.0,4.7,10.0,Paradox Development,M,0
6168,Disney's Treasure Planet,GBA,2002,Action,Ubisoft,0.2,0.07,0.0,0.01,0.28,68.0,6.0,tbd,,Disney Interactive,E,0
6169,Guitar Hero: Van Halen,Wii,2009,Misc,Activision,0.13,0.12,0.0,0.03,0.28,50.0,12.0,5.2,6.0,Neversoft Entertainment,T,1
6170,Dead or Alive,PS,1998,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28,84.0,10.0,8.6,18.0,Team Ninja,T,1
6171,Dead to Rights: Retribution,PS3,2010,Shooter,Namco Bandai Games,0.1,0.12,0.02,0.05,0.28,60.0,44.0,5.9,27.0,Volatile Games,M,0
6172,Wild ARMs 5,PS2,2006,Role-Playing,505 Games,0.14,0.11,0.0,0.04,0.28,71.0,26.0,7.5,22.0,Media Vision,T,0
6173,Payday 2,PS4,2015,Shooter,505 Games,0.1,0.14,0.0,0.05,0.28,,,,,,,0
6174,NFL Blitz 20-02,PS2,2002,Sports,Midway Games,0.14,0.11,0.0,0.04,0.28,76.0,22.0,8.9,15.0,Midway,E,0
6175,Mega Man 7,SNES,1995,Platform,Laguna,0.03,0.01,0.23,0.01,0.28,,,,,,,0
6176,El Shaddai: Ascension of the Metatron,PS3,2011,Action,Ignition Entertainment,0.11,0.06,0.08,0.03,0.28,78.0,46.0,7.5,40.0,Ignition Entertainment,T,0
6177,Tony Hawk: Shred,PS3,2010,Sports,Activision,0.18,0.06,0.0,0.04,0.28,56.0,5.0,6.7,6.0,Robomodo,E,1
6178,Disney Channel: All Star Party,Wii,2010,Misc,Disney Interactive Studios,0.18,0.08,0.0,0.02,0.28,,,tbd,,Disney Interactive Studios,E,0
6179,Shrek: Ogres & Dronkeys,DS,2007,Simulation,Activision,0.26,0.0,0.0,0.02,0.28,,,,,,,0
6180,NCAA March Madness 2005,XB,2004,Sports,Electronic Arts,0.21,0.06,0.0,0.01,0.28,80.0,18.0,7.8,4.0,EA Canada,E,0
6181,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,,Action,Disney Interactive Studios,0.22,0.06,0.0,0.01,0.28,71.0,17.0,tbd,,Traveller's Tales,T,0
6182,NBA In The Zone,PS,1995,Sports,Konami Digital Entertainment,0.16,0.11,0.0,0.02,0.28,,,,,,,0
6183,Alien: Isolation,X360,2014,Shooter,Sega,0.15,0.1,0.0,0.02,0.28,,,8.2,113.0,Creative Assembly,M,0
6184,Batman: The Brave and the Bold the Videogame,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.2,0.05,0.0,0.02,0.28,,,,,,,0
6185,Corvette,GBA,2003,Racing,TDK Mediactive,0.2,0.07,0.0,0.01,0.28,,,tbd,,Visual Impact,E,0
6186,Kenka Bancho: Badass Rumble,PSP,2008,Action,Spike,0.06,0.0,0.2,0.01,0.28,70.0,21.0,7.5,6.0,Bullets,T,0
6187,Moshi Monsters: Moshlings Theme Park,3DS,2012,Misc,Activision,0.13,0.13,0.0,0.03,0.28,,,tbd,,Black Lantern Studios,E,0
6188,Cabela's Big Game Hunter 2012,X360,2011,Sports,Activision,0.24,0.02,0.0,0.02,0.28,,,tbd,,Activision,T,0
6189,F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6190,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,2004,Action,THQ,0.22,0.06,0.0,0.01,0.28,65.0,8.0,tbd,,THQ,E,1
6191,Silent Hill 2: Restless Dreams,XB,2001,Action,Konami Digital Entertainment,0.21,0.06,0.0,0.01,0.28,84.0,23.0,8.3,39.0,KCET,M,0
6192,Sniper Elite 3,PS3,2014,Shooter,505 Games,0.1,0.13,0.0,0.05,0.28,,,6.4,18.0,Rebellion,M,0
6193,NES Remix,WiiU,2014,Action,Nintendo,0.17,0.0,0.08,0.02,0.28,71.0,34.0,7.1,133.0,Indies Zero,E,0
6194,Skylanders: Trap Team,3DS,2014,Action,Activision,0.16,0.1,0.0,0.02,0.28,,,3.4,5.0,Toys for Bob,E10+,0
6195,Soul Nomad & the World Eaters,PS2,2007,Role-Playing,Tecmo Koei,0.14,0.11,0.0,0.04,0.28,,,,,,,0
6196,Bass Strike,PS2,2001,Sports,THQ,0.14,0.11,0.0,0.04,0.28,57.0,11.0,5.8,4.0,THQ,E,0
6197,NHL Hitz 20-03,PS2,2002,Sports,Midway Games,0.14,0.11,0.0,0.04,0.28,82.0,19.0,8.4,11.0,Midway,E,0
6198,Bionic Commando,X360,2009,Platform,Capcom,0.12,0.12,0.01,0.03,0.28,70.0,65.0,7.3,87.0,GRIN,M,0
6199,Monopoly Streets,X360,2010,Misc,Electronic Arts,0.16,0.09,0.0,0.02,0.28,66.0,18.0,6.6,16.0,Electronic Arts,E,1
6200,Pac-Man Fever,GC,,Misc,Unknown,0.21,0.06,0.0,0.01,0.28,54.0,10.0,6.3,6.0,Mass Media,E,0
6201,Trivial Pursuit,PS3,2009,Misc,Electronic Arts,0.12,0.11,0.0,0.05,0.28,66.0,13.0,7.1,7.0,EA Bright Light,E,0
6202,Medieval Moves: Deadmund's Quest,PS3,2011,Action,Sony Computer Entertainment,0.13,0.11,0.0,0.04,0.28,61.0,41.0,6.5,17.0,Zindagi Games,E10+,0
6203,Yu-Gi-Oh! World Championship 2008,DS,2007,Strategy,Konami Digital Entertainment,0.13,0.02,0.12,0.01,0.28,,,,,,,0
6204,Thief (2014),X360,2014,Action,Square Enix,0.14,0.11,0.0,0.02,0.28,,,,,,,0
6205,Real Pool,PS2,2000,Sports,Midas Interactive Entertainment,0.14,0.11,0.0,0.04,0.28,54.0,15.0,tbd,,Takara,E,0
6206,Mister Mosquito,PS2,2001,Shooter,Eidos Interactive,0.05,0.04,0.17,0.01,0.28,65.0,23.0,4.9,11.0,Zoom,T,0
6207,Tom and Jerry Tales,DS,2006,Platform,Warner Bros. Interactive Entertainment,0.2,0.05,0.0,0.02,0.28,,,tbd,,Sensory Sweep,E,0
6208,Kakyuusei,SAT,1997,Strategy,Elf,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6209,Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,0.04,0.11,0.11,0.03,0.28,,,,,,,0
6210,Rugby World Cup 2011,X360,2011,Sports,505 Games,0.03,0.21,0.0,0.04,0.28,55.0,14.0,3.9,13.0,HB Studios Multimedia,E,0
6211,CSI: Deadly Intent,Wii,2009,Adventure,Ubisoft,0.12,0.13,0.0,0.03,0.28,,,tbd,,Telltale Games,M,1
6212,Civilization II,PS,1998,Strategy,Activision,0.15,0.11,0.0,0.02,0.28,,,,,,,0
6213,Dynasty Warriors: Gundam,PS2,2008,Action,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,,,,,,1
6214,Madagascar,XB,2005,Platform,Activision,0.21,0.06,0.0,0.01,0.28,71.0,28.0,tbd,,Toys for Bob,E10+,0
6215,The Smurfs: Dance Party,Wii,2011,Misc,Ubisoft,0.21,0.04,0.0,0.02,0.28,,,tbd,,Land Ho!,E,0
6216,Virtua Fighter 5 Online,X360,2007,Fighting,Sega,0.2,0.02,0.03,0.02,0.28,89.0,36.0,7.6,62.0,Sega AM2,T,0
6217,Indiana Jones and the Staff of Kings,PS2,2009,Action,Activision,0.11,0.01,0.0,0.16,0.28,55.0,4.0,7.5,13.0,LucasArts,T,0
6218,Angry Birds Star Wars,X360,2013,Strategy,Activision,0.16,0.1,0.0,0.02,0.28,59.0,3.0,5.6,25.0,Exient Entertainment,E,0
6219,F-1 Grand Prix,SNES,1992,Racing,Video System,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6220,SimCity 2000,SAT,1994,Simulation,Sega,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6221,Deer Hunter,PS2,2003,Sports,Atari,0.14,0.11,0.0,0.04,0.28,,,8.5,17.0,Coresoft,T,0
6222,Puyo Puyo! 15th Anniversary,DS,2006,Puzzle,Sega,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6223,Pokemon Box: Ruby & Sapphire,GC,2003,Misc,Nintendo,0.0,0.0,0.27,0.01,0.28,,,,,,,0
6224,Yu-Gi-Oh! Monster Capsule Breed & Battle,PS,1998,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.26,0.02,0.28,,,,,,,0
6225,Dave Mirra Freestyle BMX 2,GC,2001,Sports,Acclaim Entertainment,0.21,0.06,0.0,0.01,0.28,78.0,15.0,7.7,10.0,"Z-Axis, Ltd.",T,0
6226,One Piece: Unlimited World Red,PS3,2014,Action,Namco Bandai Games,0.09,0.1,0.06,0.04,0.28,71.0,28.0,7.3,46.0,Ganbarion,T,1
6227,Wappy Dog,DS,2011,Simulation,Activision,0.26,0.0,0.0,0.02,0.28,,,tbd,,Sega Toys,E,0
6228,Warpath: Jurassic Park,PS,1998,Fighting,Electronic Arts,0.15,0.1,0.0,0.02,0.28,,,,,,,0
6229,Tak and the Guardians of Gross,PS2,2008,Action,THQ,0.14,0.11,0.0,0.04,0.28,,,tbd,,Blitz Games,E10+,0
6230,True Crime: New York City,XB,2005,Action,Activision,0.21,0.06,0.0,0.01,0.28,60.0,43.0,7.8,17.0,Exakt,M,1
6231,Summer Heat Beach Volleyball,PS2,2003,Sports,Acclaim Entertainment,0.14,0.11,0.0,0.04,0.28,65.0,21.0,7.7,19.0,Acclaim Studios Cheltenham,T,0
6232,NCAA Basketball 09,PS2,2008,Sports,Electronic Arts,0.14,0.11,0.0,0.04,0.28,55.0,4.0,tbd,,EA Canada,E,0
6233,Avatar: The Last Airbender,Wii,2006,Adventure,THQ,0.23,0.02,0.0,0.02,0.28,56.0,15.0,5.8,8.0,AWE Games,E10+,0
6234,Power Pro Kun Pocket 3,GBA,2001,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.01,0.28,,,,,,,0
6235,Castlevania: Aria of Sorrow,GBA,2003,Platform,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.28,91.0,29.0,9.1,127.0,KCET,T,0
6236,Myst III: Exile,PS2,2002,Adventure,Ubisoft,0.14,0.11,0.0,0.04,0.28,57.0,9.0,7,4.0,Presto Studios,E,0
6237,Shin Megami Tensei: Strange Journey,DS,2009,Role-Playing,Atlus,0.13,0.0,0.14,0.01,0.28,80.0,26.0,8.7,69.0,Atlus,M,0
6238,Mobile Suit Gundam Side Story I: Senritsu no Blue,SAT,1996,Shooter,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,,,,,,,1
6239,Armored Core: Project Phantasma,PS,1997,Simulation,From Software,0.06,0.04,0.15,0.02,0.28,,,,,,,0
6240,Army of Two: The Devil's Cartel,PS3,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28,58.0,27.0,6.7,100.0,Visceral Games,M,1
6241,Donkey Kong GB: Dinky Kong & Dixie Kong,GB,2000,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,,,,,,,1
6242,Kobitodzukan: Kobito Kansatsu Set,3DS,2012,Misc,Nippon Columbia,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6243,Nichibutsu Arcade Classics,SNES,1995,Misc,Nichibutsu,0.0,0.0,0.28,0.0,0.28,,,,,,,0
6244,FIFA Soccer 07,X360,2006,Sports,Electronic Arts,0.24,0.01,0.0,0.02,0.28,,,,,,,0
6245,Patapon 3,PSP,2011,Misc,Sony Computer Entertainment,0.05,0.03,0.17,0.02,0.27,74.0,41.0,7.2,35.0,SCE Japan Studio,E,1
6246,Ice Age: Dawn of the Dinosaurs,Wii,2009,Action,Activision,0.11,0.14,0.0,0.03,0.27,75.0,12.0,8.3,6.0,Activision,E10+,0
6247,Ace Attorney 6,3DS,2016,Adventure,Capcom,0.0,0.0,0.27,0.0,0.27,,,,,,,0
6248,Cabela's Trophy Bucks,PS2,2007,Sports,Activision Value,0.13,0.11,0.0,0.04,0.27,,,tbd,,Sand Grain Studios,T,0
6249,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,2007,Misc,Nintendo,0.0,0.0,0.27,0.0,0.27,,,,,,,1
6250,Q-Ball: Billiards Master,PS2,2000,Sports,Take-Two Interactive,0.13,0.1,0.0,0.04,0.27,65.0,9.0,tbd,,Ornith,E,0
6251,Mr. Do!,2600,1982,Action,Coleco,0.26,0.02,0.0,0.0,0.27,,,,,,,0
6252,Tao Feng: Fist of the Lotus,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.27,65.0,32.0,6.5,8.0,Studio Gigante,M,0
6253,Guitar Hero: Van Halen,PS3,2009,Misc,Activision,0.14,0.09,0.0,0.04,0.27,59.0,33.0,4.7,9.0,Neversoft Entertainment,T,1
6254,Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,1996,Fighting,Tomy Corporation,0.0,0.0,0.26,0.02,0.27,,,,,,,1
6255,Dragon Ball Z: Budokai 2,GC,2004,Fighting,Atari,0.21,0.06,0.0,0.01,0.27,66.0,9.0,5.8,12.0,Pyramid,T,1
6256,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,,Action,,0.0,0.0,0.27,0.01,0.27,,,,,,,1
6257,Over the Hedge,DS,2006,Platform,Activision,0.24,0.01,0.0,0.02,0.27,71.0,17.0,6.4,9.0,Vicarious Visions,E,0
6258,Motocross Maniacs Advance,GBA,2002,Racing,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.27,69.0,11.0,tbd,,Konami,E,0
6259,Resident Evil 2: Dual Shock Edition,PS,1998,Action,Capcom,0.0,0.0,0.26,0.02,0.27,,,,,,,1
6260,Dynasty Warriors,PS,1997,Action,Tecmo Koei,0.09,0.06,0.11,0.02,0.27,,,,,,,1
6261,M&M's Blast!,GBA,2001,Puzzle,Unknown,0.2,0.07,0.0,0.0,0.27,,,,,,,0
6262,Siren: Blood Curse,PS3,2008,Action,Sony Computer Entertainment,0.0,0.17,0.09,0.01,0.27,78.0,42.0,8.1,87.0,SCE Japan Studio,M,0
6263,NBA 2K12,PSP,2011,Sports,Take-Two Interactive,0.22,0.03,0.0,0.03,0.27,,,5,7.0,Visual Concepts,E,1
6264,Final Fantasy X International,PS2,2004,Role-Playing,Square Enix,0.0,0.0,0.27,0.0,0.27,,,,,,,1
6265,Tiny Toon Adventures: Plucky's Big Adventure,PS,2001,Action,Conspiracy Entertainment,0.15,0.1,0.0,0.02,0.27,,,,,,,1
6266,NHL Hitz 20-02,XB,2001,Sports,Midway Games,0.2,0.06,0.0,0.01,0.27,79.0,20.0,8.7,11.0,Black Box,E,0
6267,Indy 500,2600,,Racing,Atari,0.26,0.01,0.0,0.0,0.27,,,,,,,0
6268,GRID 2,X360,2013,Racing,Codemasters,0.08,0.16,0.0,0.03,0.27,78.0,51.0,5.8,156.0,Codemasters,E,1
6269,Trivial Pursuit,PS2,2009,Misc,Electronic Arts,0.09,0.01,0.0,0.17,0.27,,,tbd,,EA Bright Light,E,0
6270,Evil Dead: Hail to the King,PS,2000,Adventure,THQ,0.15,0.1,0.0,0.02,0.27,51.0,8.0,6,7.0,Heavy Iron Studios,M,1
6271,Need for Speed: The Run,Wii,2011,Action,Electronic Arts,0.11,0.12,0.01,0.03,0.27,64.0,6.0,3.6,21.0,Firebrand Games,E10+,1
6272,Dragon Ball GT: Final Bout,PS,1997,Fighting,Namco Bandai Games,0.02,0.02,0.22,0.02,0.27,,,,,,,1
6273,Burstrick: Wake Boarding!!,PS,2000,Sports,Natsume,0.15,0.1,0.0,0.02,0.27,,,,,,,0
6274,Need for Speed: Most Wanted,WiiU,2013,Racing,Electronic Arts,0.13,0.12,0.0,0.02,0.27,,,,,,,0
6275,Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,Acclaim Entertainment,0.15,0.1,0.0,0.02,0.27,67.0,11.0,8.1,7.0,"Z-Axis, Ltd.",E,1
6276,The Evil Within,PC,2014,Action,Bethesda Softworks,0.1,0.16,0.0,0.02,0.27,68.0,18.0,5.9,721.0,Tango Gameworks,M,0
6277,Mass Effect Trilogy,PC,2012,Action,Electronic Arts,0.09,0.16,0.0,0.02,0.27,,,8,60.0,BioWare,M,1
